Hungary,France,2014,,118,?,Mistral,portable SAM,118,?,2016;2017;2019,New,Mistral M3 version,0.09,10.62,10.62;;;;;;;;;;;;
India,France,2016,?,342,?,aircraft engine,aircraft engine,30,?,2022;2023,New,Turbomeca Ardiden-1H (1070hp) turboshaft for 171 Prachand (LCH) combat helicopter produced in India;produced under licence in India as Shakti,0.5,171,15;;;;;;;;;;;;
India,France,2019,?,,,Mistral,portable SAM,75,?,2022;2023,New,AAM version;for Prachand (LCH) and Rudra helicopters,0.09,0,6.75;;;;;;;;;;;;
India,France,2017,,200,?,Storm Shadow/SCALP-EG,air-to-surface missile,200,?,2020;2021;2022,New,Part of EUR710 m deal; SCALP version;for Rafale combat aircraft,0.64,128,128;;;;;;;;;;
India,France,2017,,350,?,MICA,long-range air-to-air missile,350,?,2021;2022;2023,New,Part of EUR710 m deal; MICA-RF and MICA-IR versions;for Rafale combat aircraft,0.4,140,140;;;;;;;;;;
India,France,2012,?,14,?,Sherpa,armoured personnel carrier,10,?,2017,New,,0.25,3.5,2.5;;;;;;;;;;;;;;
India,France,2012,,493,,MICA,long-range air-to-air missile,493,?,2014;2015;2016;2018;2019;2020;2021,New,EUR950 m deal (offsets 30%); MICA-EM and MICA-IR versions;for Mirage-2000-5 combat aircraft,0.4,197.2,197.2;;;;;;
India,France,2013,,20,,SA-315B Lama,light helicopter,20,?,2015;2016,New,INR3 b ($48 m) deal; Cheetal version;produced under licence in India,0.75,15,15;;;;;;;;;;;
India,France,2017,,8,,SA-316B Alouette-3,light helicopter,8,?,2019;2020,New,INR3.2 b deal;produced under licence in India as Chetak,0.9,7.2,7.2;;;;;;;;;;;;
India,France,2021,,24,,FLASH,anti-submarine sonar,12,?,2021;2022;2023;2024,New,ASQ-22 ALFS version for 24 MH-60R anti-submarine helicopters from USA;from production line in USA,2,48,24;;;;;;;;;;
India,France,2009,,19,,GS-100,air-search radar,9,?,2014;2015;2016,New,Incl 13 producedunder licence in India,7.5,142.5,67.5;;;;;;;;;;;;
India,France,2006,?,8,,ship engine,ship engine,4,,2014,New,PA-6B (10450-10850hp) diesel engine for 4 Saryu patrol ships produced in India,3,24,12;;;;;;;;;;;;;;
India,France,2017,,36,,Rafale,FGA aircraft,36,?,2019;2020;2021;2022,New,EUR7.8 b deal (incl EUR5.2 b for aircraft EUR1.8 b for spare parts and EUR710 m for armament;50% offsets incl 20% as production of components in India);Rafale-EH version (incl 8 Rafale-DH trainer/combat version),55,1980,1980;;;;;;;;;
India,France,2005,,6,,Scorpene,submarine,5,,2017;2019;2021;2022,New,INR207-237 b ($3.2-4.5 b) 'Project-75' programme; produced under licence in India as Kalvari;delivery planned 2017-2025 (delayed from 2012-2017),299.52,1797.12,1497.6;;;;;;;;;
India,France,2003,?,16,,ship engine,ship engine,16,,2014;2015;2017;2020,New,SEMT-Pielstick 12PA6-STC (5100hp) diesel engine for 4 Kamorta (Project-28) frigates produced in India;probably produced under licence in India,1.5,24,24;;;;;;;;;;
India,France,1979,?,24730,?,MILAN,anti-tank missile,4730,?,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,New,MILAN-2 and MILAN-2T version; ordered from French-FRG company; most produced under licence in India;incl for BMP-2 infantry fighting vehicles,0.01,247.3,47.3;;
India,France,2005,,36,,SM-39 Exocet,anti-ship missile,36,?,2017;2018;2020;2021;2022;2023;2024,New,Possibly $150 m deal;SM-39 Block-2 version;for Scorpene submarines,0.75,27,27;;;;;;
India,France,2018,?,10,,SA-315B Lama,light helicopter,4,?,2021;2022;2023;2024,New,Cheetal version;produced under licence in India,0.75,7.5,3;;;;;;;;;;
India,France,2011,,49,?,Mirage-2000-5,FGA aircraft,41,?,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,New,INR109-175 b deal ($2.3-2.6 b;offsets $593 m);Indian Mirage-2000H rebuilt to Mirage-2000-5;incl 2 rebuilt in France and rest in India;delivery planned 2015-2025,31,1519,1271;
India,France,2020,,300,?,AASM Hammer,air-to-surface missile,300,?,2020;2021;2022;2023,New,For Rafale combat aircraft,0.2,60,60;;;;;;;;;;;
Indonesia,France,2023,?,13,,Ground Master-400,air-search radar,1,?,2024,New,EUR354 m. deal; Ground Master Alpha version; incl production of components in Indonesia;delivery planned 2024-2028,13,169,13;;;;;;;;;;;
