Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
South Korea,United Kingdom,2016,,8,?,Trent-700,turbofan,8,,2019,New,For 4 A330 MRTT tanker/transport aircraft from France,6,48,48;;;;;;;;;
Spain,United Kingdom,2021,,3,,air refuel system,air refuel system,1,?,2024,New,For modification of 3 Spanish A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,30,10;;;;;;;;;
Sweden,United Kingdom,2014,,60,?,Raven ES-05,combat aircraft radar,3,?,2021;2024,New,For 60 Gripen-E combat aircraft produced in Sweden;incl production of components in Sweden,2.5,150,7.5;;;;;;;
Thailand,United Kingdom,2015,,1,,BVT-90,patrol ship,1,,2019,New,TBH2.9 b ($80 m) deal; produced under licence in Thailand;Thai designation Krabi,35,35,35;;;;;;;
Thailand,United Kingdom,2015,,250,?,Starstreak,SAM,250,?,2016;2017,New,,0.09,22.5,22.5;;;;;;;;
UAE,United Kingdom,2021,,2,,Seaspray,maritime patrol aircraft radar,2,,2024,New,For 2 GlobalEye AEW&C aircraft from Sweden;SeaSpray-7500E version,2,4,4;;;;;;;;
UAE,United Kingdom,2015,,2,,Seaspray,maritime patrol aircraft radar,2,,2020,New,For 2 GlobalEye AEW&C aircraft from Sweden;SeaSpray-7500E version,2,4,4;;;;;;;;
UAE,United Kingdom,2009,?,2,,AS-5,signals intelligence system,2,,2018;2019,New,For 2 Global Express-6000 transport from Canada aircraft modified in UK to SIGINT aircraft before delivery,7.5,15,15;;;;;;;;
UAE,United Kingdom,2021,,4,,Trent-700,turbofan,2,?,2024,New,Trent-772B version for 2 A-330 MRTT tanker/transport aircraft from France,6,24,12;;;;;;;;;
UAE,United Kingdom,2021,,2,,air refuel system,air refuel system,1,?,2024,New,For 2 A-330 MRTT tanker/transport aircraft from France,10,20,10;;;;;;;;;
UAE,United Kingdom,2017,,1,,Seaspray,maritime patrol aircraft radar,1,,2021,New,For 1 GlobalEye AEW&C/AGS aircraft from Sweden;SeaSpray-7500E version,2,2,2;;;;;;;;
Ukraine,United Kingdom,2024,,160,,MXT-MV,armoured personnel carrier,160,,2024,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine;Husky version,0.06,10.24,10.24;;;;;;;
Ukraine,United Kingdom,2022,,60,?,Cougar,armoured personnel carrier,60,?,2022,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine;Mastiff and Wolfhound versions,0.14,8.4,8.4;;;;;;;
Ukraine,United Kingdom,2022,,82,?,Spartan,armoured personnel carrier,82,?,2022;2023,Second hand,Second-hand; financed with Ukrainian private donations;  including Samaritan ambulance;Sultan command post and Samson recovery versions,0.1,8.2,8.2;;;;;
Ukraine,United Kingdom,2022,,6,,M-270 MLRS 227mm,multiple rocket launcher,6,?,2022,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine,0.48,2.88,2.88;;;;;;;;
Ukraine,United Kingdom,2022,,40,?,Spartan,armoured personnel carrier,40,?,2022,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine; including Samaritan ambulance;Sultan command post and Samson recovery versions,0.1,4,4;;;;;;
Ukraine,United Kingdom,2022,,14,,Spartan,armoured personnel carrier,14,,2022,Second hand,Second-hand; financed with Ukrainian private donations;incl Sultan command post and Samaritan ambulance versions,0.1,1.4,1.4;;;;;;;
Ukraine,United Kingdom,2022,,50,?,AIM-120C AMRAAM,long-range air-to-air missile,50,?,2022;2023,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine;for NASAMS SAM systems,0.24,12,12;;;;;;
Ukraine,United Kingdom,2022,,3,,Sea King HAR-3,transport helicopter,3,?,2022;2023,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine;Sea King HU-5 version;for SAR,2.7,8.1,8.1;;;;;
Ukraine,United Kingdom,2022,,50,?,Brimstone-2,air-to-surface missile,50,?,2022,New,Aid after 2022 Russian invasion of Ukraine,0.2,10,10;;;;;;;;;
Ukraine,United Kingdom,2022,,820,?,GMLRS,guided rocket,820,?,2022;2023,Second hand,Second-hand;aid after 2022 Russian invasion of Ukraine,0.03,26.24,26.24;;;;;;;
